timestamp,mem_mb,fs_init_mb,fs_delta_mb,repeat_idx,pair_idx,operation,elapsed_ms,comment
00:08:35,0,8,0,3,4,SNAPSHOT,51.842,
00:08:45,0,8,0,3,4,RESTORE,126.515,
00:08:55,0,8,0,3,5,SNAPSHOT,55.302,
00:09:06,0,8,0,3,5,RESTORE,132.078,
00:09:11,0,8,0,3,0,CLEANUP,310.620,
00:09:37,0,16,0,1,0,BUILD,20673.574,
00:09:42,0,16,0,1,0,INFO.du,534616502.000,du_B=534616502
00:09:52,0,16,0,1,1,SNAPSHOT,77.395,
00:10:02,0,16,0,1,1,RESTORE,115.838,
00:10:12,0,16,0,1,2,SNAPSHOT,53.618,
00:10:22,0,16,0,1,2,RESTORE,115.483,
00:10:33,0,16,0,1,3,SNAPSHOT,55.162,
00:10:43,0,16,0,1,3,RESTORE,118.233,
00:10:53,0,16,0,1,4,SNAPSHOT,55.704,
00:11:03,0,16,0,1,4,RESTORE,117.820,
00:11:13,0,16,0,1,5,SNAPSHOT,56.249,
00:11:23,0,16,0,1,5,RESTORE,116.380,
00:11:29,0,16,0,1,0,CLEANUP,309.471,
00:11:49,0,16,0,2,0,BUILD,20364.261,
00:11:54,0,16,0,2,0,INFO.du,534622708.000,du_B=534622708
00:12:04,0,16,0,2,1,SNAPSHOT,75.092,
00:12:14,0,16,0,2,1,RESTORE,118.097,
00:12:25,0,16,0,2,2,SNAPSHOT,55.879,
00:12:35,0,16,0,2,2,RESTORE,114.575,
00:12:45,0,16,0,2,3,SNAPSHOT,57.197,
00:12:55,0,16,0,2,3,RESTORE,114.658,
00:13:05,0,16,0,2,4,SNAPSHOT,54.914,
00:13:15,0,16,0,2,4,RESTORE,115.835,
00:13:26,0,16,0,2,5,SNAPSHOT,55.850,
00:13:36,0,16,0,2,5,RESTORE,115.345,
00:13:41,0,16,0,2,0,CLEANUP,308.843,
00:14:02,0,16,0,3,0,BUILD,20693.883,
00:14:07,0,16,0,3,0,INFO.du,534628914.000,du_B=534628914
00:14:17,0,16,0,3,1,SNAPSHOT,74.243,
00:14:27,0,16,0,3,1,RESTORE,112.761,
00:14:37,0,16,0,3,2,SNAPSHOT,56.978,
00:14:48,0,16,0,3,2,RESTORE,114.224,
00:14:58,0,16,0,3,3,SNAPSHOT,64.532,
00:15:08,0,16,0,3,3,RESTORE,116.913,
00:15:18,0,16,0,3,4,SNAPSHOT,55.947,
00:15:28,0,16,0,3,4,RESTORE,116.339,
00:15:38,0,16,0,3,5,SNAPSHOT,70.360,
00:15:48,0,16,0,3,5,RESTORE,114.639,
00:15:54,0,16,0,3,0,CLEANUP,314.550,
00:16:20,0,32,0,1,0,BUILD,20802.280,
00:16:25,0,32,0,1,0,INFO.du,551412408.000,du_B=551412408
